src_id,relation,dst_id,evidence
ENTITY::금리,maps_to_factor,FACTOR::금리/통화,
ENTITY::기준금리,maps_to_factor,FACTOR::금리/통화,
ENTITY::통화정책,maps_to_factor,FACTOR::금리/통화,
ENTITY::한은,maps_to_factor,FACTOR::금리/통화,
ENTITY::연준,maps_to_factor,FACTOR::금리/통화,
ENTITY::FOMC,maps_to_factor,FACTOR::금리/통화,
ENTITY::유동성,maps_to_factor,FACTOR::금리/통화,
ENTITY::양적긴축,maps_to_factor,FACTOR::금리/통화,
ENTITY::양적완화,maps_to_factor,FACTOR::금리/통화,
ENTITY::긴축,maps_to_factor,FACTOR::금리/통화,
ENTITY::완화,maps_to_factor,FACTOR::금리/통화,
ENTITY::대출금리,maps_to_factor,FACTOR::금리/통화,
ENTITY::예금금리,maps_to_factor,FACTOR::금리/통화,
ENTITY::채권금리,maps_to_factor,FACTOR::금리/통화,
ENTITY::물가,maps_to_factor,FACTOR::물가/원자재,
ENTITY::인플레,maps_to_factor,FACTOR::물가/원자재,
ENTITY::CPI,maps_to_factor,FACTOR::물가/원자재,
ENTITY::PPI,maps_to_factor,FACTOR::물가/원자재,
ENTITY::유가,maps_to_factor,FACTOR::물가/원자재,
ENTITY::원유,maps_to_factor,FACTOR::물가/원자재,
ENTITY::가스,maps_to_factor,FACTOR::물가/원자재,
ENTITY::LNG,maps_to_factor,FACTOR::물가/원자재,
ENTITY::석탄,maps_to_factor,FACTOR::물가/원자재,
ENTITY::원자재,maps_to_factor,FACTOR::물가/원자재,
ENTITY::구리,maps_to_factor,FACTOR::물가/원자재,
ENTITY::니켈,maps_to_factor,FACTOR::물가/원자재,
ENTITY::리튬,maps_to_factor,FACTOR::물가/원자재,
ENTITY::곡물,maps_to_factor,FACTOR::물가/원자재,
ENTITY::원가,maps_to_factor,FACTOR::물가/원자재,
ENTITY::에너지 가격,maps_to_factor,FACTOR::물가/원자재,
ENTITY::환율,maps_to_factor,FACTOR::환율/무역,
ENTITY::원달러,maps_to_factor,FACTOR::환율/무역,
ENTITY::달러,maps_to_factor,FACTOR::환율/무역,
ENTITY::달러강세,maps_to_factor,FACTOR::환율/무역,
ENTITY::달러약세,maps_to_factor,FACTOR::환율/무역,
ENTITY::수출,maps_to_factor,FACTOR::환율/무역,
ENTITY::수입,maps_to_factor,FACTOR::환율/무역,
ENTITY::무역,maps_to_factor,FACTOR::환율/무역,
ENTITY::관세,maps_to_factor,FACTOR::환율/무역,
ENTITY::통상,maps_to_factor,FACTOR::환율/무역,
ENTITY::무역수지,maps_to_factor,FACTOR::환율/무역,
ENTITY::수출규제,maps_to_factor,FACTOR::환율/무역,
ENTITY::리쇼어링,maps_to_factor,FACTOR::환율/무역,
ENTITY::규제,maps_to_factor,FACTOR::정책/규제,
ENTITY::규제완화,maps_to_factor,FACTOR::정책/규제,
ENTITY::규제강화,maps_to_factor,FACTOR::정책/규제,
ENTITY::세제,maps_to_factor,FACTOR::정책/규제,
ENTITY::세금,maps_to_factor,FACTOR::정책/규제,
ENTITY::법안,maps_to_factor,FACTOR::정책/규제,
ENTITY::예산,maps_to_factor,FACTOR::정책/규제,
ENTITY::추경,maps_to_factor,FACTOR::정책/규제,
ENTITY::지원,maps_to_factor,FACTOR::정책/규제,
ENTITY::보조금,maps_to_factor,FACTOR::정책/규제,
ENTITY::공급망법,maps_to_factor,FACTOR::정책/규제,
ENTITY::상한제,maps_to_factor,FACTOR::정책/규제,
ENTITY::허가,maps_to_factor,FACTOR::정책/규제,
ENTITY::인허가,maps_to_factor,FACTOR::정책/규제,
ENTITY::정책금융,maps_to_factor,FACTOR::정책/규제,
ENTITY::대출규제,maps_to_factor,FACTOR::정책/규제,
ENTITY::부양책,maps_to_factor,FACTOR::정책/규제,
ENTITY::실적,maps_to_factor,FACTOR::실적/펀더멘털,
ENTITY::매출,maps_to_factor,FACTOR::실적/펀더멘털,
ENTITY::영업이익,maps_to_factor,FACTOR::실적/펀더멘털,
ENTITY::순이익,maps_to_factor,FACTOR::실적/펀더멘털,
ENTITY::적자,maps_to_factor,FACTOR::실적/펀더멘털,
ENTITY::흑자,maps_to_factor,FACTOR::실적/펀더멘털,
ENTITY::가이던스,maps_to_factor,FACTOR::실적/펀더멘털,
ENTITY::수주,maps_to_factor,FACTOR::실적/펀더멘털,
ENTITY::수주잔고,maps_to_factor,FACTOR::실적/펀더멘털,
ENTITY::CAPEX,maps_to_factor,FACTOR::실적/펀더멘털,
ENTITY::배당,maps_to_factor,FACTOR::실적/펀더멘털,
ENTITY::자사주,maps_to_factor,FACTOR::실적/펀더멘털,
ENTITY::M&A,maps_to_factor,FACTOR::실적/펀더멘털,
ENTITY::인수,maps_to_factor,FACTOR::실적/펀더멘털,
ENTITY::매각,maps_to_factor,FACTOR::실적/펀더멘털,
ENTITY::구조조정,maps_to_factor,FACTOR::실적/펀더멘털,
ENTITY::공장,maps_to_factor,FACTOR::실적/펀더멘털,
ENTITY::증설,maps_to_factor,FACTOR::실적/펀더멘털,
ENTITY::감산,maps_to_factor,FACTOR::실적/펀더멘털,
ENTITY::외국인,maps_to_factor,FACTOR::수급/투자심리,
ENTITY::기관,maps_to_factor,FACTOR::수급/투자심리,
ENTITY::개미,maps_to_factor,FACTOR::수급/투자심리,
ENTITY::수급,maps_to_factor,FACTOR::수급/투자심리,
ENTITY::공매도,maps_to_factor,FACTOR::수급/투자심리,
ENTITY::ETF,maps_to_factor,FACTOR::수급/투자심리,
ENTITY::펀드,maps_to_factor,FACTOR::수급/투자심리,
ENTITY::자금,maps_to_factor,FACTOR::수급/투자심리,
ENTITY::매수,maps_to_factor,FACTOR::수급/투자심리,
ENTITY::매도,maps_to_factor,FACTOR::수급/투자심리,
ENTITY::밸류업,maps_to_factor,FACTOR::수급/투자심리,
ENTITY::투자심리,maps_to_factor,FACTOR::수급/투자심리,
ENTITY::리레이팅,maps_to_factor,FACTOR::수급/투자심리,
ENTITY::밸류에이션,maps_to_factor,FACTOR::수급/투자심리,
ENTITY::공급망,maps_to_factor,FACTOR::산업수요/공급망,
ENTITY::재고,maps_to_factor,FACTOR::산업수요/공급망,
ENTITY::출하,maps_to_factor,FACTOR::산업수요/공급망,
ENTITY::가동률,maps_to_factor,FACTOR::산업수요/공급망,
ENTITY::증산,maps_to_factor,FACTOR::산업수요/공급망,
ENTITY::감산,maps_to_factor,FACTOR::산업수요/공급망,
ENTITY::수요,maps_to_factor,FACTOR::산업수요/공급망,
ENTITY::생산,maps_to_factor,FACTOR::산업수요/공급망,
ENTITY::공급과잉,maps_to_factor,FACTOR::산업수요/공급망,
ENTITY::쇼티지,maps_to_factor,FACTOR::산업수요/공급망,
ENTITY::운임,maps_to_factor,FACTOR::산업수요/공급망,
ENTITY::물류,maps_to_factor,FACTOR::산업수요/공급망,
ENTITY::항만,maps_to_factor,FACTOR::산업수요/공급망,
ENTITY::재개,maps_to_factor,FACTOR::산업수요/공급망,
ENTITY::중단,maps_to_factor,FACTOR::산업수요/공급망,
ENTITY::셧다운,maps_to_factor,FACTOR::산업수요/공급망,
ENTITY::증설,maps_to_factor,FACTOR::산업수요/공급망,
ENTITY::전쟁,maps_to_factor,FACTOR::지정학/리스크,
ENTITY::휴전,maps_to_factor,FACTOR::지정학/리스크,
ENTITY::충돌,maps_to_factor,FACTOR::지정학/리스크,
ENTITY::갈등,maps_to_factor,FACTOR::지정학/리스크,
ENTITY::제재,maps_to_factor,FACTOR::지정학/리스크,
ENTITY::봉쇄,maps_to_factor,FACTOR::지정학/리스크,
ENTITY::리스크,maps_to_factor,FACTOR::지정학/리스크,
ENTITY::불확실성,maps_to_factor,FACTOR::지정학/리스크,
ENTITY::중동,maps_to_factor,FACTOR::지정학/리스크,
ENTITY::러시아,maps_to_factor,FACTOR::지정학/리스크,
ENTITY::우크라,maps_to_factor,FACTOR::지정학/리스크,
ENTITY::중국,maps_to_factor,FACTOR::지정학/리스크,
ENTITY::미국,maps_to_factor,FACTOR::지정학/리스크,
ENTITY::대만,maps_to_factor,FACTOR::지정학/리스크,
ENTITY::호르무즈,maps_to_factor,FACTOR::지정학/리스크,
ENTITY::관세전쟁,maps_to_factor,FACTOR::지정학/리스크,
ENTITY::부동산,maps_to_factor,FACTOR::부동산/건설,
ENTITY::아파트,maps_to_factor,FACTOR::부동산/건설,
ENTITY::분양,maps_to_factor,FACTOR::부동산/건설,
ENTITY::전세,maps_to_factor,FACTOR::부동산/건설,
ENTITY::재건축,maps_to_factor,FACTOR::부동산/건설,
ENTITY::재개발,maps_to_factor,FACTOR::부동산/건설,
ENTITY::PF,maps_to_factor,FACTOR::부동산/건설,
ENTITY::미분양,maps_to_factor,FACTOR::부동산/건설,
ENTITY::착공,maps_to_factor,FACTOR::부동산/건설,
ENTITY::준공,maps_to_factor,FACTOR::부동산/건설,
ENTITY::소비,maps_to_factor,FACTOR::소비/고용,
ENTITY::소매판매,maps_to_factor,FACTOR::소비/고용,
ENTITY::고용,maps_to_factor,FACTOR::소비/고용,
ENTITY::실업,maps_to_factor,FACTOR::소비/고용,
ENTITY::임금,maps_to_factor,FACTOR::소비/고용,
ENTITY::가계부채,maps_to_factor,FACTOR::소비/고용,
ENTITY::대출,maps_to_factor,FACTOR::소비/고용,
ENTITY::신용,maps_to_factor,FACTOR::소비/고용,
ENTITY::여행수요,maps_to_factor,FACTOR::소비/고용,
ENTITY::내수,maps_to_factor,FACTOR::소비/고용,
ENTITY::반도체,maps_to_sector,SECTOR::반도체,
ENTITY::메모리,maps_to_sector,SECTOR::반도체,
ENTITY::HBM,maps_to_sector,SECTOR::반도체,
ENTITY::파운드리,maps_to_sector,SECTOR::반도체,
ENTITY::자동차,maps_to_sector,SECTOR::자동차,
ENTITY::완성차,maps_to_sector,SECTOR::자동차,
ENTITY::전기차,maps_to_sector,SECTOR::자동차,
ENTITY::하이브리드,maps_to_sector,SECTOR::자동차,
ENTITY::차부품,maps_to_sector,SECTOR::자동차,
ENTITY::배터리,maps_to_sector,SECTOR::배터리,
ENTITY::이차전지,maps_to_sector,SECTOR::배터리,
ENTITY::양극재,maps_to_sector,SECTOR::배터리,
ENTITY::음극재,maps_to_sector,SECTOR::배터리,
ENTITY::배터리셀,maps_to_sector,SECTOR::배터리,
ENTITY::조선,maps_to_sector,SECTOR::조선,
ENTITY::선박,maps_to_sector,SECTOR::조선,
ENTITY::해양플랜트,maps_to_sector,SECTOR::조선,
ENTITY::해운,maps_to_sector,SECTOR::해운,
ENTITY::컨테이너선,maps_to_sector,SECTOR::해운,
ENTITY::물동량,maps_to_sector,SECTOR::해운,
ENTITY::운임,maps_to_sector,SECTOR::해운,
ENTITY::항공,maps_to_sector,SECTOR::항공,
ENTITY::항공사,maps_to_sector,SECTOR::항공,
ENTITY::여객,maps_to_sector,SECTOR::항공,
ENTITY::화물항공,maps_to_sector,SECTOR::항공,
ENTITY::은행,maps_to_sector,SECTOR::은행,
ENTITY::예대마진,maps_to_sector,SECTOR::은행,
ENTITY::NIM,maps_to_sector,SECTOR::은행,
ENTITY::보험,maps_to_sector,SECTOR::보험,
ENTITY::손해보험,maps_to_sector,SECTOR::보험,
ENTITY::생명보험,maps_to_sector,SECTOR::보험,
ENTITY::증권,maps_to_sector,SECTOR::증권,
ENTITY::브로커리지,maps_to_sector,SECTOR::증권,
ENTITY::IB,maps_to_sector,SECTOR::증권,
ENTITY::건설,maps_to_sector,SECTOR::건설,
ENTITY::주택,maps_to_sector,SECTOR::건설,
ENTITY::재건축,maps_to_sector,SECTOR::건설,
ENTITY::PF,maps_to_sector,SECTOR::건설,
ENTITY::시멘트,maps_to_sector,SECTOR::건설,
ENTITY::부동산,maps_to_sector,SECTOR::부동산,
ENTITY::분양,maps_to_sector,SECTOR::부동산,
ENTITY::전세,maps_to_sector,SECTOR::부동산,
ENTITY::매매,maps_to_sector,SECTOR::부동산,
ENTITY::오피스텔,maps_to_sector,SECTOR::부동산,
ENTITY::철강,maps_to_sector,SECTOR::철강,
ENTITY::후판,maps_to_sector,SECTOR::철강,
ENTITY::열연,maps_to_sector,SECTOR::철강,
ENTITY::화학,maps_to_sector,SECTOR::화학,
ENTITY::석유화학,maps_to_sector,SECTOR::화학,
ENTITY::나프타,maps_to_sector,SECTOR::화학,
ENTITY::정유,maps_to_sector,SECTOR::정유,
ENTITY::원유,maps_to_sector,SECTOR::정유,
ENTITY::정제마진,maps_to_sector,SECTOR::정유,
ENTITY::유통,maps_to_sector,SECTOR::유통,
ENTITY::백화점,maps_to_sector,SECTOR::유통,
ENTITY::마트,maps_to_sector,SECTOR::유통,
ENTITY::편의점,maps_to_sector,SECTOR::유통,
ENTITY::바이오,maps_to_sector,SECTOR::바이오,
ENTITY::제약,maps_to_sector,SECTOR::바이오,
ENTITY::신약,maps_to_sector,SECTOR::바이오,
ENTITY::의약품,maps_to_sector,SECTOR::바이오,
ENTITY::임상,maps_to_sector,SECTOR::바이오,
ENTITY::게임,maps_to_sector,SECTOR::게임,
ENTITY::게임사,maps_to_sector,SECTOR::게임,
ENTITY::콘솔,maps_to_sector,SECTOR::게임,
ENTITY::모바일게임,maps_to_sector,SECTOR::게임,
ENTITY::플랫폼,maps_to_sector,SECTOR::플랫폼,
ENTITY::이커머스,maps_to_sector,SECTOR::플랫폼,
ENTITY::커머스,maps_to_sector,SECTOR::플랫폼,
ENTITY::배달앱,maps_to_sector,SECTOR::플랫폼,
ENTITY::포털,maps_to_sector,SECTOR::플랫폼,
ENTITY::통신,maps_to_sector,SECTOR::통신,
ENTITY::5G,maps_to_sector,SECTOR::통신,
ENTITY::통신사,maps_to_sector,SECTOR::통신,
ENTITY::전력,maps_to_sector,SECTOR::전력,
ENTITY::전기요금,maps_to_sector,SECTOR::전력,
ENTITY::전력망,maps_to_sector,SECTOR::전력,
ENTITY::송전망,maps_to_sector,SECTOR::전력,
ENTITY::AI,maps_to_sector,SECTOR::AI,
ENTITY::인공지능,maps_to_sector,SECTOR::AI,
ENTITY::GPU,maps_to_sector,SECTOR::AI,
ENTITY::데이터센터,maps_to_sector,SECTOR::AI,
ARTICLE::MK_11204873,has_scope,SCOPE::시장전체,
ARTICLE::MK_11204873,has_direction,DIRECTION::neutral,
ARTICLE::MK_11204873,has_driver,FACTOR::기타,
ARTICLE::MK_11207143,has_scope,SCOPE::시장전체,
ARTICLE::MK_11207143,has_direction,DIRECTION::neutral,
ARTICLE::MK_11207143,has_driver,FACTOR::기타,
ARTICLE::MK_11237525,has_scope,SCOPE::시장전체,한은
ARTICLE::MK_11237525,has_direction,DIRECTION::neutral,
ARTICLE::MK_11237525,has_driver,FACTOR::금리/통화,한은
ARTICLE::MK_11237525,mentions,ENTITY::한은,한은
